"ID","prediction"
100000000081,"nao_eleito"
100000000094,"nao_eleito"
100000000097,"nao_eleito"
100000000143,"nao_eleito"
100000000204,"nao_eleito"
100000000212,"nao_eleito"
100000000220,"nao_eleito"
100000000259,"nao_eleito"
100000000262,"eleito"
100000000281,"nao_eleito"
100000000283,"nao_eleito"
100000000490,"nao_eleito"
100000000499,"nao_eleito"
100000000514,"nao_eleito"
100000000544,"nao_eleito"
100000000570,"nao_eleito"
100000000589,"nao_eleito"
100000000607,"nao_eleito"
100000000610,"nao_eleito"
100000000624,"nao_eleito"
100000000629,"nao_eleito"
100000000787,"nao_eleito"
100000000802,"nao_eleito"
100000000970,"nao_eleito"
100000001009,"nao_eleito"
100000001088,"nao_eleito"
10000000135,"nao_eleito"
10000000142,"nao_eleito"
10000000158,"nao_eleito"
10000000171,"eleito"
10000000173,"nao_eleito"
10000000363,"nao_eleito"
10000000611,"nao_eleito"
10000000620,"nao_eleito"
10000000622,"nao_eleito"
10000000761,"nao_eleito"
110000000009,"eleito"
110000000017,"eleito"
110000000024,"nao_eleito"
110000000025,"nao_eleito"
110000000044,"nao_eleito"
110000000172,"nao_eleito"
110000000254,"eleito"
110000000262,"nao_eleito"
110000000267,"nao_eleito"
110000000298,"nao_eleito"
110000000301,"nao_eleito"
110000000304,"nao_eleito"
110000000305,"nao_eleito"
110000000309,"nao_eleito"
110000000310,"nao_eleito"
110000000313,"nao_eleito"
110000000317,"eleito"
110000000400,"nao_eleito"
110000000402,"eleito"
110000000404,"nao_eleito"
110000000434,"nao_eleito"
110000000439,"nao_eleito"
110000000541,"eleito"
120000000040,"nao_eleito"
120000000052,"nao_eleito"
120000000063,"nao_eleito"
120000000072,"eleito"
120000000080,"nao_eleito"
120000000107,"nao_eleito"
120000000117,"eleito"
120000000121,"nao_eleito"
120000000124,"nao_eleito"
120000000127,"nao_eleito"
120000000146,"nao_eleito"
120000000417,"nao_eleito"
120000000426,"nao_eleito"
120000000427,"nao_eleito"
120000000513,"nao_eleito"
120000000519,"nao_eleito"
120000000589,"nao_eleito"
130000000125,"nao_eleito"
130000000141,"nao_eleito"
130000000149,"nao_eleito"
130000000152,"nao_eleito"
130000000275,"nao_eleito"
130000000279,"nao_eleito"
130000000280,"nao_eleito"
130000000285,"nao_eleito"
130000000329,"nao_eleito"
130000000336,"nao_eleito"
130000000337,"nao_eleito"
130000000338,"nao_eleito"
130000000341,"nao_eleito"
130000000342,"nao_eleito"
130000000344,"nao_eleito"
130000000361,"nao_eleito"
130000000364,"nao_eleito"
130000000383,"nao_eleito"
130000000386,"nao_eleito"
